date,revision,files,first_order_density,prop_cost,core_size,periphery_size,shared_size,control_size,vfo_median,vfi_median,fo_median,fi_median,SumCyclomatic,CountLine,CountLineCode
2015-08-11T23:25:52Z,d4f3a8a75577,22859,0.0004076,0.26378,6875,4112,1529,6108,8383,2296,18,4,1029291,9474853,5577827
2015-08-12T11:46:59Z,295bbb5db86b,22865,0.00040113,0.2751,7139,5161,822,5772,8768,16075,18,4,1029432,9473946,5578118
2015-08-15T16:53:15Z,2ddfc9180971,22871,0.00040425,0.27322,7109,5166,805,5842,8702,16112,18,4,1029533,9481778,5582484
2015-08-16T17:08:18Z,0876695d1abd,22873,0.00040561,0.26479,6853,3983,1549,6204,8361,2348,18,4,1029600,9480669,5582561
2015-08-17T12:04:11Z,a6eeb28458fd,22851,0.00040157,0.26377,6857,4057,1552,6156,8356,2267,18,4,1029096,9478142,5578843
2015-08-18T14:26:17Z,2c272af993c2,22860,0.00040318,0.25777,6705,4023,1453,6328,8117,2385,18,4,1029442,9481718,5581166
2015-08-20T15:17:07Z,29b2df16e961,22862,0.00040396,0.26216,6776,4009,1566,6253,8296,2214,18,4,1029636,9486360,5583049
2015-08-21T13:58:33Z,22c34579ae07,22865,0.00040883,0.26127,6750,3964,1581,6274,8258,2222,18,4,1029923,9489461,5584499
2015-08-22T20:46:51Z,22c34579ae07,22865,0.00040882,0.26127,6750,3964,1581,6274,8258,2222,18,4,1029923,9490207,5584255
2015-08-23T15:48:03Z,378d72d8bdf4,22870,0.00039891,0.26292,6819,4062,1578,6112,8358,2349,18,4,1029917,9490185,5584737
2015-08-24T19:51:02Z,04b8c412d9f5,22887,0.00040657,0.26315,6814,4017,1532,6222,8319,2421,18,4,1032276,9500936,5592993
2015-08-25T12:21:43Z,23a04f9a321c,22886,0.00040284,0.24319,6476,4359,1287,6611,7715,2259,18,4,1032230,9502415,5592726
2015-08-26T13:50:12Z,f61c3cc0eb8b,22890,0.00039899,0.24634,6480,4301,1353,6553,7820,2493,18,4,1032325,9502868,5592831
2015-08-28T12:34:24Z,56a6c786bdb0,22894,0.0004042,0.24832,6511,4189,1388,6571,7851,2214,18,4,1032571,9506137,5596030
2015-08-29T20:56:08Z,7db14bebae91,22894,0.0004042,0.24832,6511,4189,1388,6571,7851,2214,18,4,1032663,9507768,5596648
2015-08-31T21:03:52Z,cafb1c90f794,22933,0.00040738,0.25017,6587,4144,1359,6553,7904,2355,18,4,1033239,9513585,5600477
2015-09-01T13:23:06Z,dd509db16a13,22937,0.00039371,0.24016,6378,4371,1283,6718,7631,2397,18,4,1033361,9515003,5601917
