date,revision,files,first_order_density,prop_cost,core_size,periphery_size,shared_size,control_size,vfo_median,vfi_median,fo_median,fi_median,SumCyclomatic,CountLine,CountLineCode
2015-09-22T23:00:32Z,19b4265d0d56,307,0.020064,0.44728,140,24,10,55,158,265,13,3,8495,78209,49567
2015-09-23T09:12:50Z,abe43c30d78d,307,0.020032,0.48805,146,15,13,41,173,265,13,2,8497,78217,49574
2015-09-24T13:27:30Z,001942e4617b,307,0.019756,0.44469,139,24,10,58,157,265,13,2,8497,78217,49574
2015-09-25T21:13:51Z,94c804ef40d8,307,0.019968,0.47972,144,16,13,47,170,265,13,2,8512,78297,49639
2015-09-26T21:33:08Z,6256ec9113c1,307,0.019937,0.45008,141,24,10,57,159,265,13,2,8512,78297,49639
2015-09-27T20:05:21Z,6256ec9113c1,307,0.019937,0.45008,141,24,10,57,159,265,13,2,8512,78297,49639
2015-09-28T10:28:31Z,031db40e2b55,307,0.02,0.49382,148,15,13,44,175,265,13,3,8512,78297,49639
2015-09-29T10:18:15Z,acdb22976ff8,307,0.020106,0.49076,147,15,13,37,174,265,13,3,8515,78313,49653
2015-09-30T10:33:58Z,97e537f85183,307,0.020202,0.47974,144,16,13,46,170,265,13,2,8522,78356,49676
2015-10-01T10:36:40Z,2c1fb007137d,307,0.020265,0.48573,146,16,13,45,172,265,13,3,8522,78356,49675
2015-10-02T09:50:10Z,5f16c6c2b969,307,0.020223,0.49392,148,15,13,37,175,265,13,2,8523,78362,49679
2015-10-04T12:40:03Z,3d7532ce81ac,307,0.020234,0.47725,145,18,10,43,169,265,13,3,8526,78394,49704
2015-10-05T10:30:22Z,d56c816b35c3,307,0.020159,0.49929,150,15,13,43,177,265,13,2,8526,78394,49704
2015-10-07T08:36:03Z,d1c5a7c5b433,307,0.019958,0.49081,147,15,13,41,174,265,13,3,8523,78416,49716
2015-10-08T18:42:31Z,e5f1bc63ad52,307,0.020319,0.47992,144,16,13,46,170,265,13,2,8580,78758,49979
2015-10-09T18:05:31Z,c00e93135684,307,0.01982,0.44725,140,24,10,57,158,265,13,2,8580,78758,49979
2015-10-10T23:15:58Z,b68eab795f9d,307,0.020319,0.5105,153,14,13,34,181,265,13,2,8580,78758,49979
2015-10-12T15:10:43Z,f4215b484d52,307,0.020128,0.49416,148,15,13,44,175,265,13,3,8580,78758,49979
2015-10-13T11:12:19Z,2387ada86428,307,0.020308,0.4474,140,24,10,57,158,265,13,3,8580,78758,49979
2015-10-14T11:08:24Z,833c3c37daa6,307,0.020181,0.46386,141,19,10,47,164,265,13,2,8580,78758,49979
2015-10-15T10:40:56Z,e193b4da0a8c,307,0.020138,0.45257,141,23,10,53,160,265,13,3,8582,78779,50000
2015-10-16T22:53:13Z,01e37977f8da,307,0.02,0.46121,144,23,10,53,163,265,13,3,8581,78815,50023
2015-10-19T10:29:06Z,1a157155a4fe,307,0.020074,0.48583,146,16,13,45,172,265,13,3,8585,78840,50046
2015-10-20T10:13:24Z,f7b746b4e913,307,0.020149,0.47723,143,16,13,47,169,265,13,2,8585,78840,50046
