date,revision,files,first_order_density,prop_cost,core_size,periphery_size,shared_size,control_size,vfo_median,vfi_median,fo_median,fi_median,SumCyclomatic,CountLine,CountLineCode
2015-09-22T23:00:32Z,19b4265d0d56,13868,0.00070315,0.24463,3972,3920,479,2747,4847,9073,19,3,672611,5997665,3700047
2015-09-23T10:10:25Z,abe43c30d78d,13867,0.0006853,0.24361,3991,3942,438,2718,4827,9089,19,3,672888,6000138,3700009
2015-09-24T14:29:42Z,001942e4617b,13879,0.00069901,0.24349,3969,3867,443,2820,4816,9165,19,3,673408,6005380,3704019
2015-09-25T22:19:30Z,94c804ef40d8,13883,0.00070869,0.24518,3975,3743,780,3004,4745,2389.5,19,3,673556,6005159,3705334
2015-09-26T22:32:08Z,6256ec9113c1,13882,0.0007039,0.24704,4011,3796,396,2865,4823,9274,19,3,673576,6006971,3705162
2015-09-27T20:57:32Z,6256ec9113c1,13882,0.00070393,0.24704,4011,3796,396,2865,4823,9274,19,3,673576,6006869,3705243
2015-09-28T11:25:42Z,031db40e2b55,13890,0.00070087,0.25494,4175,3804,392,2696,4992,9269,19,3,673680,6009505,3706139
2015-09-29T11:14:07Z,acdb22976ff8,13901,0.00071079,0.24405,4005,3950,454,2727,4864,9092,18,3,673443,6009823,3706831
2015-09-30T11:41:03Z,97e537f85183,13908,0.00070802,0.25431,4088,3682,430,2885,4947,9367,18,3,673612,6011254,3708596
2015-10-01T11:47:09Z,2c1fb007137d,13924,0.00071066,0.24748,4045,3885,445,2799,4887,9197,19,3,674121,6016168,3711270
2015-10-02T11:39:50Z,5f16c6c2b969,13929,0.00070792,0.25142,4090,3769,379,2833,4888,9362,18,3,674511,6020911,3713952
2015-10-04T13:35:05Z,3d7532ce81ac,13931,0.00070419,0.24228,3930,3967,521,2741,4851,9043,18,3,674555,6020726,3714466
2015-10-05T11:27:19Z,d56c816b35c3,13927,0.00070594,0.24037,3929,3941,457,2853,4776,9139,19,3,674509,6020390,3714269
2015-10-07T10:06:37Z,d1c5a7c5b433,13939,0.00070286,0.25094,4098,3764,387,2820,4913,9360,19,3,674727,6023576,3715938
2015-10-08T19:56:18Z,e5f1bc63ad52,13947,0.00069777,0.24874,4052,3841,491,2739,4950,9208,19,3,675288,6029084,3719700
2015-10-09T19:31:51Z,c00e93135684,13937,0.0007042,0.25778,4179,3736,439,2731,5043,9337,19,3,675206,6028751,3719200
2015-10-11T00:11:33Z,b68eab795f9d,13945,0.00070572,0.24976,4042,3808,395,2826,4860,9319,18,3,675312,6026200,3719674
2015-10-12T16:22:30Z,f4215b484d52,13959,0.00068549,0.24409,3996,3901,461,2822,4860,9194,19,3,675871,6034511,3723995
2015-10-13T12:09:48Z,2387ada86428,13965,0.00070189,0.23842,3932,3973,852,2861,4779,2497.5,19,3,676022,6037754,3725150
2015-10-14T12:15:01Z,833c3c37daa6,14005,0.00069474,0.24529,4052,3923,467,2729,4922,9212,18,3,676590,6041500,3728463
2015-10-15T11:39:58Z,e193b4da0a8c,14010,0.00069783,0.25123,4077,3808,447,2804,4948,9331,19,3,676761,6045300,3729542
2015-10-16T23:56:10Z,01e37977f8da,14013,0.00068941,0.24079,4007,4007,442,2757,4852,9161,19,3,676964,6046895,3730623
2015-10-19T11:27:55Z,1a157155a4fe,14013,0.00068774,0.24145,3997,4023,453,2729,4846,9141,19,3,676867,6044991,3730348
2015-10-20T11:23:51Z,f7b746b4e913,14019,0.00070628,0.25815,4218,3763,433,2755,5075,9399,19,3,677101,6045303,3731696
