date,revision,files,first_order_density,prop_cost,core_size,periphery_size,shared_size,control_size,vfo_median,vfi_median,fo_median,fi_median,SumCyclomatic,CountLine,CountLineCode
2015-09-21T15:05:19Z,a1ccea59e254,517,0.018392,0.33212,225,145,25,17,259,338,27,3,18300,290496,170765
2015-09-22T23:00:53Z,19b4265d0d56,517,0.018759,0.2949,208,159,18,19,230,336,27,2,18312,290768,170874
2015-09-23T09:13:11Z,abe43c30d78d,517,0.018048,0.33294,216,135,38,18,257,341,27,2,18345,290683,170896
2015-09-24T13:27:46Z,001942e4617b,517,0.018022,0.31698,207,140,38,16,249,335,29,2,18349,290607,170981
2015-09-25T21:14:12Z,94c804ef40d8,517,0.01678,0.2997,216,161,12,17,233,339,27,3,18349,290150,170957
2015-09-26T21:33:29Z,6256ec9113c1,517,0.017588,0.3094,217,154,18,21,239,341,27,3,18349,290446,170982
2015-09-27T20:05:42Z,6256ec9113c1,517,0.017588,0.3094,217,154,18,21,239,341,27,3,18349,288336,170982
2015-09-28T10:28:46Z,031db40e2b55,517,0.015717,0.27669,199,163,14,22,216,337,29,2,18287,291056,171174
2015-09-29T10:18:31Z,acdb22976ff8,519,0.016699,0.2947,203,151,21,27,227,344,28,2,18320,290392,171487
2015-09-30T10:36:53Z,97e537f85183,519,0.01821,0.29457,203,154,25,32,231,337,26,2,18340,290844,171598
