date,revision,files,first_order_density,prop_cost,core_size,periphery_size,shared_size,control_size,vfo_median,vfi_median,fo_median,fi_median,SumCyclomatic,CountLine,CountLineCode
2015-09-22T23:03:07Z,19b4265d0d56,3512,0.0015252,0.17408,722,546,350,1090,806,26,8,2,118609,1257775,813480
2015-09-23T09:15:21Z,abe43c30d78d,3512,0.001553,0.16871,709,530,364,1105,780,25,8,2,118642,1258020,813691
2015-09-24T13:29:53Z,001942e4617b,3516,0.0015516,0.16876,713,534,361,1104,783,25,8,2,119179,1263793,818071
2015-09-25T21:16:29Z,94c804ef40d8,3516,0.0015559,0.1744,722,542,355,1092,808,31,8,2,119199,1263908,818127
2015-09-26T21:36:02Z,6256ec9113c1,3516,0.001553,0.17564,718,550,361,1097,819,31,8,2,119199,1263911,818128
2015-09-28T10:30:44Z,031db40e2b55,3516,0.0015477,0.16547,738,542,366,1093,769,23,8,2,119218,1264288,818378
2015-09-29T10:20:32Z,acdb22976ff8,3516,0.0015505,0.16024,727,541,366,1117,743,23,8,2,119309,1264912,818846
2015-09-30T10:39:29Z,97e537f85183,3519,0.0015498,0.17278,720,540,367,1075,805,24,8,2,119368,1265608,819271
2015-10-01T10:39:34Z,2c1fb007137d,3525,0.0015397,0.16755,722,532,369,1070,779,25,8,2,119530,1267707,820596
2015-10-02T09:52:58Z,5f16c6c2b969,3527,0.0015617,0.1617,710,558,374,1110,759,24,8,2,119609,1268523,821110
2015-10-05T10:32:41Z,d56c816b35c3,3527,0.001543,0.15961,717,568,358,1101,748,24,8,2,119545,1268504,821226
2015-10-07T08:38:45Z,d1c5a7c5b433,3527,0.0015321,0.16637,735,561,347,1090,775,22.5,8,2,119530,1268515,821185
2015-10-08T18:45:18Z,e5f1bc63ad52,3532,0.0015271,0.16538,715,541,365,1105,771,24,8,2,119585,1269353,821823
2015-10-09T18:08:30Z,c00e93135684,3532,0.0015134,0.16546,711,569,371,1095,781,23.5,8,2,119575,1269278,821749
2015-10-12T15:13:33Z,f4215b484d52,3539,0.0015469,0.16344,726,548,364,1108,764,23,7,2,119869,1272282,823871
2015-10-13T11:14:39Z,2387ada86428,3538,0.0015109,0.16994,726,547,358,1094,794,25,8,2,119869,1272299,823861
2015-10-14T11:10:41Z,833c3c37daa6,3538,0.0015075,0.16374,726,561,364,1088,770,24,8,2,119898,1272468,823986
2015-10-15T10:43:16Z,e193b4da0a8c,3537,0.0014916,0.16613,728,577,363,1092,786,23,8,2,119940,1272825,824228
2015-10-16T22:56:12Z,01e37977f8da,3538,0.0015324,0.17549,719,546,364,1096,821,27,8,2,119992,1273586,824602
2015-10-19T10:31:34Z,1a157155a4fe,3539,0.001527,0.18634,745,551,348,1039,871,31,7,2,120043,1273736,824739
2015-10-20T10:15:44Z,f7b746b4e913,3544,0.0015323,0.17297,734,545,361,1069,809,23,7.5,2,120144,1274749,825406
