date,revision,files,first_order_density,prop_cost,core_size,periphery_size,shared_size,control_size,vfo_median,vfi_median,fo_median,fi_median,SumCyclomatic,CountLine,CountLineCode
2015-09-22T23:03:31Z,19b4265d0d56,709,0.0089162,0.29197,162,127,134,173,325,419,14,6,28729,301830,195084
2015-09-23T09:15:45Z,abe43c30d78d,709,0.0089818,0.28349,162,128,134,174,324,419,14,6,28729,301830,195084
2015-09-24T13:30:16Z,001942e4617b,709,0.0089818,0.28924,162,130,133,174,322,419,14,6,28739,301925,195151
2015-09-25T21:16:54Z,94c804ef40d8,709,0.0089838,0.29059,160,127,134,176,323,419,14,6,28763,302193,195361
2015-09-26T21:36:26Z,6256ec9113c1,709,0.0089818,0.28164,160,128,133,176,322,419,14,6,28763,302193,195361
2015-09-28T10:31:03Z,031db40e2b55,709,0.0089838,0.28857,160,129,133,176,321,419,14,6,28718,302076,195246
2015-09-29T10:20:51Z,acdb22976ff8,718,0.0087503,0.28921,173,134,118,178,321,436,14,6,28894,303963,196357
2015-09-30T10:39:55Z,97e537f85183,718,0.0086999,0.28289,161,138,135,176,323,418,14,6,28883,303732,196219
2015-10-01T10:39:59Z,2c1fb007137d,718,0.0087678,0.28105,161,140,134,176,321,418,14,6,28910,303878,196323
2015-10-02T09:53:23Z,5f16c6c2b969,718,0.0087717,0.28185,161,139,134,176,322,418,14,6,28900,303858,196313
2015-10-05T10:33:01Z,d56c816b35c3,718,0.0087678,0.2742,161,139,134,176,322,418,14,6,28903,303882,196328
2015-10-07T08:39:10Z,d1c5a7c5b433,718,0.0087154,0.28209,161,139,135,176,322,418,14,6,28906,303864,196336
2015-10-08T18:45:43Z,e5f1bc63ad52,718,0.0086921,0.2768,161,136,134,175,325,418,14,6,28966,304383,196632
2015-10-09T18:08:56Z,c00e93135684,718,0.0087581,0.27676,161,136,134,175,325,418,14,6,28969,304401,196647
2015-10-12T15:13:57Z,f4215b484d52,720,0.0087539,0.28654,164,136,133,174,328,420,14,6,29171,305746,197620
2015-10-13T11:15:01Z,2387ada86428,720,0.0087539,0.28418,164,139,133,175,325,420,14,6,29171,305756,197620
2015-10-14T11:11:01Z,833c3c37daa6,720,0.0086902,0.2876,164,135,134,174,329,420,14,6,29171,305756,197620
2015-10-15T10:43:37Z,e193b4da0a8c,720,0.0087558,0.2789,164,137,133,174,327,420,14,6,29176,305804,197653
2015-10-16T22:56:39Z,01e37977f8da,720,0.008696,0.27971,164,135,134,175,329,420,14,5.5,29199,305974,197756
2015-10-19T10:31:55Z,1a157155a4fe,720,0.0087674,0.2874,166,137,133,169,329,420,14,6,29208,306037,197807
2015-10-20T10:16:04Z,f7b746b4e913,720,0.0087731,0.28761,166,137,134,169,329,420,14,5.5,29212,306067,197824
