date,revision,files,first_order_density,prop_cost,core_size,periphery_size,shared_size,control_size,vfo_median,vfi_median,fo_median,fi_median,SumCyclomatic,CountLine,CountLineCode
2015-09-22T23:03:41Z,19b4265d0d56,416,0.01169,0.11742,77,142,64,131,33.5,23,9,3,13569,118804,59302
2015-09-23T09:15:55Z,abe43c30d78d,416,0.01169,0.11351,77,142,64,131,28.5,22,9,3,13569,118892,59308
2015-09-24T13:30:26Z,001942e4617b,415,0.01174,0.1147,77,143,64,127,33,16,9,3,13456,118261,58835
2015-09-25T21:17:04Z,94c804ef40d8,415,0.011729,0.11435,77,140,64,131,30,22,9,3,13456,118260,58835
2015-09-26T21:36:36Z,6256ec9113c1,415,0.011735,0.11405,77,141,64,129,29,22,9,3,13456,118260,58835
2015-09-28T10:31:12Z,031db40e2b55,415,0.011746,0.11871,77,141,63,131,35,17,9,3,13453,118237,58816
2015-09-29T10:21:01Z,acdb22976ff8,415,0.011729,0.11459,77,141,64,130,31,22,9,3,13453,118237,58816
2015-09-30T10:40:11Z,97e537f85183,415,0.011729,0.11426,77,140,64,129,29,22,9,3,13450,118211,58801
2015-10-01T10:40:10Z,2c1fb007137d,415,0.011729,0.11398,77,141,64,129,29,22,9,3,13450,118211,58801
2015-10-02T09:53:33Z,5f16c6c2b969,415,0.011735,0.11497,76,139,65,124,32,22,9,3,13446,118182,58777
2015-10-05T10:33:11Z,d56c816b35c3,415,0.011706,0.11222,82,143,63,124,29,13,9,3,13427,118033,58670
2015-10-07T08:39:21Z,d1c5a7c5b433,415,0.0117,0.11254,82,142,63,126,30,13,9,3,13434,118069,58704
2015-10-08T18:45:55Z,e5f1bc63ad52,415,0.0117,0.11517,82,139,64,125,32,13,9,3,13440,118119,58738
2015-10-09T18:09:09Z,c00e93135684,415,0.011706,0.11305,79,142,63,127,28,17,9,3,13440,118119,58738
2015-10-12T15:14:08Z,f4215b484d52,415,0.0117,0.11278,82,143,63,126,31,13,9,3,13440,118119,58738
2015-10-13T11:15:11Z,2387ada86428,415,0.011706,0.11775,77,141,64,129,34,23,9,3,13440,118119,58738
2015-10-14T11:11:11Z,833c3c37daa6,415,0.011706,0.11305,79,142,63,127,28,17,9,3,13440,118119,58738
2015-10-15T10:43:47Z,e193b4da0a8c,415,0.011706,0.11681,77,142,63,127,34,23,9,3,13441,118134,58748
2015-10-16T22:56:53Z,01e37977f8da,415,0.011706,0.11775,77,141,64,129,34,23,9,3,13441,118134,58748
2015-10-19T10:32:04Z,1a157155a4fe,415,0.011717,0.11995,77,142,63,131,35,23,9,3,13443,118156,58764
2015-10-20T10:16:13Z,f7b746b4e913,415,0.011706,0.11231,82,143,63,124,29,13,9,3,13443,118156,58764
