date,revision,files,first_order_density,prop_cost,core_size,periphery_size,shared_size,control_size,vfo_median,vfi_median,fo_median,fi_median,SumCyclomatic,CountLine,CountLineCode
2015-09-22T23:04:22Z,19b4265d0d56,914,0.0089838,0.38941,389,152,28,171,460,691,13.5,5,91450,709473,481040
2015-09-23T09:16:37Z,abe43c30d78d,914,0.0089443,0.39183,391,151,28,168,463,691,13,5,91504,709811,481300
2015-09-24T13:31:05Z,001942e4617b,916,0.0090077,0.39251,392,149,26,176,460,699,13,6,91585,710623,481829
2015-09-25T21:17:46Z,94c804ef40d8,917,0.0088989,0.3894,389,150,27,174,460,696,13,6,91611,710894,481985
2015-09-26T21:37:20Z,6256ec9113c1,917,0.0089548,0.38911,390,151,27,174,460,696,13,6,91612,710894,481985
2015-09-28T10:31:52Z,031db40e2b55,919,0.0089123,0.39216,392,149,27,178,462,700,13,5,91612,711254,482148
2015-09-29T10:21:41Z,acdb22976ff8,918,0.0089472,0.39158,392,150,27,174,463,697,14,5,91633,710916,481965
2015-09-30T10:41:30Z,97e537f85183,920,0.0089142,0.39086,393,151,27,163,463,699,14,5,91631,711358,482217
2015-10-01T10:40:53Z,2c1fb007137d,921,0.0089479,0.39099,394,149,22,183,459,707,14,5,91719,712171,482733
2015-10-02T09:54:16Z,5f16c6c2b969,923,0.0089315,0.39385,396,148,22,179,462,709,14,6,91776,712767,483038
2015-10-05T10:33:52Z,d56c816b35c3,923,0.0089162,0.39188,394,148,22,183,460,709,14,6,91785,712916,483101
2015-10-07T08:40:04Z,d1c5a7c5b433,923,0.0089362,0.39147,393,148,22,184,459,709,14,5,91794,713019,483159
2015-10-08T18:46:41Z,e5f1bc63ad52,919,0.0090224,0.39675,398,146,21,166,462,709,14,5,91990,714947,484501
2015-10-09T18:09:56Z,c00e93135684,919,0.0090473,0.39258,393,146,21,180,457,709,14,5,92087,715639,484984
2015-10-12T15:14:49Z,f4215b484d52,921,0.0090387,0.39458,397,147,22,181,461,710,14,5,92111,715861,484885
2015-10-13T11:15:54Z,2387ada86428,927,0.0089686,0.40233,407,146,21,156,472,716,14,6,92276,717504,485947
2015-10-14T11:11:52Z,833c3c37daa6,927,0.0089465,0.39478,399,146,22,181,464,716,14,5,92287,717682,485994
2015-10-15T10:44:30Z,e193b4da0a8c,927,0.0089768,0.39691,402,146,22,174,467,716,14,5,92294,717739,486037
2015-10-16T22:57:42Z,01e37977f8da,927,0.0089582,0.39703,401,146,22,169,466,716,14,5,92304,717798,486086
2015-10-19T10:32:44Z,1a157155a4fe,927,0.0089372,0.39234,396,147,20,184,460,716,14,5,92328,718141,486198
2015-10-20T10:16:54Z,f7b746b4e913,927,0.0089232,0.39466,400,147,22,183,464,716,14,5,92328,718145,486193
