date,revision,files,first_order_density,prop_cost,core_size,periphery_size,shared_size,control_size,vfo_median,vfi_median,fo_median,fi_median,SumCyclomatic,CountLine,CountLineCode
2015-09-22T23:04:58Z,19b4265d0d56,263,0.01265,0.055372,46,68,57,84,6,13,4,3,8463,93473,55233
2015-09-23T09:17:13Z,abe43c30d78d,262,0.012121,0.051789,46,63,55,86,5,11,4,3,8463,93473,55233
2015-09-24T13:31:41Z,001942e4617b,262,0.012528,0.053319,44,65,59,85,6,11.5,4,3,8464,93477,55237
2015-09-25T21:18:22Z,94c804ef40d8,261,0.012331,0.052715,48,65,53,83,5,11,4,3,8464,93494,55238
2015-09-26T21:37:56Z,6256ec9113c1,263,0.012491,0.053449,46,70,58,83,6,11.5,4,3,8464,93494,55238
2015-09-28T10:32:24Z,031db40e2b55,261,0.012522,0.054124,46,69,57,82,6,13,4,3,8480,93601,55320
2015-09-29T10:22:11Z,acdb22976ff8,263,0.012188,0.052784,46,67,57,84,5,11.5,4,3,8480,93601,55320
2015-09-30T10:42:29Z,97e537f85183,263,0.012173,0.052364,44,72,58,83,6,11.5,4,3,8480,93601,55320
2015-10-01T10:41:31Z,2c1fb007137d,263,0.012289,0.053304,47,72,58,80,6,13,4,3,8480,93609,55328
2015-10-02T09:54:49Z,5f16c6c2b969,263,0.012303,0.05355,47,72,56,80,6,13,4,3,8480,93579,55326
2015-10-05T10:34:25Z,d56c816b35c3,263,0.012592,0.053854,46,69,57,83,6,12.5,4,3,8480,93579,55326
2015-10-07T08:40:43Z,d1c5a7c5b433,262,0.012237,0.052095,46,67,57,81,6,11,4,3,8480,93579,55326
2015-10-08T18:47:19Z,e5f1bc63ad52,261,0.012287,0.052598,44,69,56,82,6,11,4,3,8480,93579,55326
2015-10-09T18:10:37Z,c00e93135684,264,0.01244,0.054436,45,66,59,84,6,12,4,3,8480,93579,55326
2015-10-12T15:15:26Z,f4215b484d52,262,0.012193,0.051672,46,69,56,80,6,11,4,3,8482,93590,55336
2015-10-13T11:16:29Z,2387ada86428,262,0.01263,0.05562,45,68,58,85,6,11.5,4,3,8482,93590,55336
2015-10-14T11:12:23Z,833c3c37daa6,262,0.012426,0.051716,48,72,52,84,6,11.5,4,3,8482,93590,55336
2015-10-15T10:45:02Z,e193b4da0a8c,262,0.012106,0.051308,46,68,54,84,5,12,4,3,8482,93590,55336
2015-10-16T22:58:32Z,01e37977f8da,262,0.012645,0.054324,45,66,57,84,6,12.5,4,3,8482,93590,55336
2015-10-19T10:33:19Z,1a157155a4fe,262,0.012849,0.055766,46,62,57,87,6,12,4,3,8482,93590,55336
2015-10-20T10:17:26Z,f7b746b4e913,262,0.012528,0.052765,44,67,56,88,6,12.5,4,3,8544,93963,55616
