date,revision,files,first_order_density,prop_cost,core_size,periphery_size,shared_size,control_size,vfo_median,vfi_median,fo_median,fi_median,SumCyclomatic,CountLine,CountLineCode
2015-09-22T23:05:19Z,19b4265d0d56,569,0.0062917,0.19019,115,161,83,163,12,256,5,2,25142,238375,160048
2015-09-23T09:17:37Z,abe43c30d78d,569,0.0062917,0.18822,115,161,82,168,8,255,5,2,25167,238595,160231
2015-09-24T13:32:02Z,001942e4617b,569,0.0062948,0.21497,116,156,72,121,231,298,5,2,25168,238612,160240
2015-09-25T21:18:43Z,94c804ef40d8,570,0.0062881,0.18882,114,162,83,163,12,255,5,2,25188,238850,160422
2015-09-26T21:38:18Z,6256ec9113c1,570,0.0063004,0.18762,115,162,82,168,8,255,5,2,25188,238850,160422
2015-09-28T10:32:41Z,031db40e2b55,569,0.0063009,0.18947,114,161,83,163,12,255,5,2,25155,238566,160301
2015-09-29T10:22:29Z,acdb22976ff8,569,0.0063195,0.18827,115,162,82,168,8,255,5,2,25164,238635,160343
2015-09-30T10:42:54Z,97e537f85183,569,0.0063071,0.18945,114,159,83,168,11,255,5,2,25169,238668,160366
2015-10-01T10:41:54Z,2c1fb007137d,569,0.0063133,0.18827,115,158,82,168,8,255,5,2,25167,238689,160377
2015-10-02T09:55:08Z,5f16c6c2b969,569,0.0062948,0.18946,114,161,83,163,12,255,5,2,25164,238676,160357
2015-10-05T10:34:45Z,d56c816b35c3,569,0.0063195,0.18826,115,162,82,168,8,255,5,2,25160,238760,160348
2015-10-07T08:41:05Z,d1c5a7c5b433,569,0.0063009,0.18945,114,159,83,168,11,255,5,2,25194,239138,160597
2015-10-08T18:47:43Z,e5f1bc63ad52,569,0.0063009,0.21502,116,156,72,121,231,298,5,2,25201,239382,160755
2015-10-09T18:11:03Z,c00e93135684,569,0.006304,0.1882,115,158,82,168,8,255,5,2,25216,239535,160851
2015-10-12T15:15:47Z,f4215b484d52,569,0.0063102,0.21482,116,156,72,121,230,299,5,2,25243,239788,161044
2015-10-13T11:16:50Z,2387ada86428,569,0.0062948,0.21477,116,156,72,121,230,299,5,2,25243,239788,161044
2015-10-14T11:12:43Z,833c3c37daa6,569,0.0063164,0.18819,115,162,82,169,8,256,5,2,25240,239772,161031
2015-10-15T10:45:23Z,e193b4da0a8c,569,0.0062886,0.18935,114,161,83,164,12,256,5,2,25249,239820,161065
2015-10-16T22:59:05Z,01e37977f8da,569,0.0063133,0.21482,116,156,72,121,230,299,5,2,25246,239833,161043
2015-10-19T10:33:40Z,1a157155a4fe,569,0.0062979,0.2148,116,156,72,121,230,299,5,2,25246,239832,161042
2015-10-20T10:17:48Z,f7b746b4e913,566,0.0061557,0.16754,112,158,90,171,9,224,4,2,25214,239879,161059
