date,revision,files,first_order_density,prop_cost,core_size,periphery_size,shared_size,control_size,vfo_median,vfi_median,fo_median,fi_median,SumCyclomatic,CountLine,CountLineCode
2015-09-22T23:05:45Z,19b4265d0d56,1121,0.0073227,0.20311,329,413,145,206,407,105,19,7,87828,741264,422387
2015-09-23T09:18:02Z,abe43c30d78d,1121,0.0073108,0.20272,327,411,147,215,406,102,19,7,87828,741264,422387
2015-09-24T13:32:28Z,001942e4617b,1121,0.007306,0.27537,391,359,159,137,589,564,19,7,87828,741264,422387
2015-09-25T21:19:11Z,94c804ef40d8,1121,0.0073108,0.23849,309,332,155,301,432,121,19,7,87829,741271,422391
2015-09-26T21:38:48Z,6256ec9113c1,1121,0.0073314,0.2609,391,390,130,135,560,562,19,7,87829,741271,422391
2015-09-28T10:33:06Z,031db40e2b55,1121,0.0073346,0.24056,311,330,156,294,436,121,19,8,87829,741271,422391
2015-09-29T10:22:53Z,acdb22976ff8,1121,0.0073147,0.26174,391,388,133,134,563,561,19,7,87829,741268,422387
2015-09-30T10:43:27Z,97e537f85183,1121,0.0073251,0.21574,296,389,168,247,432,121,19,7,87829,741268,422387
2015-10-01T10:42:21Z,2c1fb007137d,1121,0.0073275,0.2392,311,333,156,291,436,121,19,7,87830,741274,422391
2015-10-05T10:35:10Z,d56c816b35c3,1121,0.0073426,0.21626,298,391,169,236,436,121,19,8,87837,741291,422419
2015-10-07T08:41:32Z,d1c5a7c5b433,1121,0.0073259,0.26249,391,386,133,136,563,563,19,7,87848,741348,422465
2015-10-08T18:48:11Z,e5f1bc63ad52,1129,0.0072342,0.19897,340,423,135,229,101,97,19,7,87963,742592,423062
2015-10-09T18:11:32Z,c00e93135684,1129,0.0072256,0.19848,338,422,133,234,101,102,19,7,87963,742592,423062
2015-10-12T15:16:12Z,f4215b484d52,1129,0.0072303,0.2345,309,341,155,300,432,121,19,7,87963,742592,423062
2015-10-13T11:17:17Z,2387ada86428,1129,0.0072224,0.25886,402,394,122,172,104,563,19,7,87963,742592,423062
2015-10-14T11:13:07Z,833c3c37daa6,1129,0.0072326,0.20094,338,416,136,237,104,102,19,7,87963,742592,423062
2015-10-15T10:45:48Z,e193b4da0a8c,1131,0.0072086,0.23469,309,340,155,303,432,122,18,7,87986,742793,423215
2015-10-16T22:59:44Z,01e37977f8da,1131,0.0072118,0.30164,404,311,146,192,589,635,18,7,87995,742960,423264
2015-10-19T10:34:06Z,1a157155a4fe,1131,0.0071907,0.19986,339,420,135,235,104,103,19,7,87989,742904,423231
2015-10-20T10:18:14Z,f7b746b4e913,1131,0.0071953,0.22319,342,359,135,265,410,106,19,7,87989,742904,423231
