date,revision,files,first_order_density,prop_cost,core_size,periphery_size,shared_size,control_size,vfo_median,vfi_median,fo_median,fi_median,SumCyclomatic,CountLine,CountLineCode
2015-09-22T23:06:09Z,19b4265d0d56,828,0.0074841,0.14591,248,412,1,166,20.5,137,16,2,25038,366016,208662
2015-09-23T09:18:25Z,abe43c30d78d,828,0.0081711,0.13714,233,390,21,174,22,36.5,15.5,2,25056,366556,208154
2015-09-24T13:32:54Z,001942e4617b,829,0.0076072,0.13367,228,385,20,184,14,19,16,2,24993,365250,207965
2015-09-25T21:19:34Z,94c804ef40d8,829,0.0079812,0.14514,249,402,9,161,18,65,15,2,24993,365076,207921
2015-09-26T21:39:10Z,6256ec9113c1,829,0.0076538,0.13369,228,396,18,177,18,20.5,16,2,24994,366989,207711
2015-09-28T10:33:21Z,031db40e2b55,828,0.0083768,0.13311,227,387,23,183,21,21,16,2,25101,365053,208290
2015-09-29T10:23:08Z,acdb22976ff8,828,0.0074024,0.13834,235,395,16,173,20,30,16,2,25054,365885,208682
2015-09-30T10:43:45Z,97e537f85183,828,0.0083724,0.14189,241,398,11,170,18,21,15,2,25050,365488,208555
2015-10-02T10:46:04Z,5f16c6c2b969,829,0.0082111,0.13728,233,387,18,177,18,19,16,2,25300,367027,209177
2015-10-05T10:35:29Z,d56c816b35c3,830,0.0081042,0.14398,245,407,8,170,16.5,69.5,16,2,25335,366856,209393
2015-10-07T08:41:55Z,d1c5a7c5b433,831,0.0085293,0.14102,240,394,19,175,24,28,15,2,25263,366904,209597
2015-10-08T18:48:35Z,e5f1bc63ad52,831,0.0084569,0.12367,216,378,32,199,16,14,16,2,25279,366864,209117
2015-10-09T18:11:59Z,c00e93135684,831,0.0082006,0.14863,254,395,5,159,18,127,17,2,25278,366803,209180
2015-10-12T15:16:28Z,f4215b484d52,833,0.008461,0.13905,238,392,15,175,18,19,16,2,25286,364896,210117
2015-10-13T11:17:35Z,2387ada86428,833,0.0082693,0.13481,233,387,28,182,14,15.5,16,2,25289,367096,209237
2015-10-14T11:13:24Z,833c3c37daa6,833,0.0087709,0.13674,236,390,18,179,17,19,16,2,25293,367254,209375
2015-10-15T10:46:05Z,e193b4da0a8c,832,0.0076825,0.13353,228,390,24,185,21,20,16.5,2,25284,367644,209026
2015-10-16T23:00:12Z,01e37977f8da,832,0.0089769,0.12983,222,387,28,193,16,18.5,16,2,25358,369013,209665
2015-10-19T10:34:25Z,1a157155a4fe,832,0.007577,0.13359,231,390,22,182,14,18,17,2,25366,368669,209789
2015-10-20T10:18:31Z,f7b746b4e913,832,0.0082444,0.14178,243,401,11,172,17,31,16.5,2,25374,369581,209436
