date,revision,files,first_order_density,prop_cost,core_size,periphery_size,shared_size,control_size,vfo_median,vfi_median,fo_median,fi_median,SumCyclomatic,CountLine,CountLineCode
2015-09-22T23:06:25Z,19b4265d0d56,544,0.005758,0.040492,112,183,83,160,4.5,9,4.5,3,23114,220071,138841
2015-09-23T09:18:40Z,abe43c30d78d,545,0.0058042,0.053137,115,184,83,156,4,14,4,3,23114,220073,138842
2015-09-24T13:33:09Z,001942e4617b,544,0.0057918,0.039478,111,185,84,161,4.5,8,4.5,3,23114,220073,138842
2015-09-25T21:19:49Z,94c804ef40d8,544,0.0057681,0.03346,109,174,87,161,4,7,4,3,23114,220075,138844
2015-09-26T21:39:26Z,6256ec9113c1,544,0.005785,0.053806,117,182,83,154,4,14,4,3,23114,220075,138844
2015-09-28T10:33:33Z,031db40e2b55,545,0.0057335,0.041751,117,176,82,155,4,11,4,3,23206,220264,139008
2015-09-29T10:23:21Z,acdb22976ff8,545,0.0057706,0.043549,115,182,81,155,4,9,4,3,23220,220527,139195
2015-09-30T10:43:59Z,97e537f85183,545,0.0057571,0.045643,112,184,81,156,5,9,4,3,23221,220538,139204
2015-10-01T10:43:00Z,2c1fb007137d,545,0.0057605,0.050262,119,185,79,153,4,21,4,3,23221,220538,139204
2015-10-02T10:46:17Z,5f16c6c2b969,545,0.0057807,0.046511,115,185,82,151,5,9,4,3,23224,220644,139291
2015-10-05T10:35:41Z,d56c816b35c3,546,0.0057561,0.049561,122,192,79,151,4.5,21,4,3,23231,220783,139372
2015-10-07T08:42:11Z,d1c5a7c5b433,546,0.0057427,0.041645,117,179,86,156,4,9,4,3,23238,220820,139403
2015-10-08T18:48:53Z,e5f1bc63ad52,545,0.0056965,0.046515,114,176,88,153,5,7,4,3,23269,220980,139971
2015-10-09T18:12:15Z,c00e93135684,546,0.0056991,0.03879,113,183,84,159,4,8.5,4,3,23229,221104,140063
2015-10-12T15:16:42Z,f4215b484d52,546,0.005632,0.039263,111,182,80,162,4,9,4,3,23285,221221,140124
2015-10-13T11:17:49Z,2387ada86428,545,0.0056999,0.041589,113,183,81,159,4,9,4,3,23246,221321,140211
2015-10-14T11:13:37Z,833c3c37daa6,545,0.0056965,0.034745,112,182,81,160,4,9,4,3,23250,221332,140219
2015-10-15T10:46:18Z,e193b4da0a8c,546,0.0056622,0.037777,112,176,85,158,4,7,4,3,23293,221340,140225
2015-10-16T23:00:28Z,01e37977f8da,545,0.0056999,0.048955,115,190,81,152,5,21.5,4,3,23266,221401,140268
2015-10-19T10:34:38Z,1a157155a4fe,545,0.005683,0.03528,114,183,81,157,4,9,4,3,23252,221313,140205
2015-10-20T10:18:45Z,f7b746b4e913,547,0.0056549,0.035641,115,174,86,158,4,7,4,3,23256,221540,140234
